Country,iso_code,Year,co2_per_capita
Afghanistan,AFG,2023,0.2658372
Africa,,2023,0.95925564
Albania,ALB,2023,1.8296235
Algeria,DZA,2023,3.858676
Andorra,AND,2023,5.2414894
Angola,AGO,2023,0.5654583
Anguilla,AIA,2023,10.012469
Antigua and Barbuda,ATG,2023,6.909023
Argentina,ARG,2023,4.299799
Armenia,ARM,2023,2.5848775
Aruba,ABW,2023,8.033462
Asia,,2023,4.731386
Asia (excl. China and India),,2023,3.9850593
Australia,AUS,2023,14.478477
Austria,AUT,2023,6.4156914
Azerbaijan,AZE,2023,4.2581973
Bahamas,BHS,2023,6.2719727
Bahrain,BHR,2023,23.270287
Bangladesh,BGD,2023,0.6615085
Barbados,BRB,2023,4.2208276
Belarus,BLR,2023,6.1970997
Belgium,BEL,2023,7.117669
Belize,BLZ,2023,1.6246133
Benin,BEN,2023,0.39630806
Bermuda,BMU,2023,8.073608
Bhutan,BTN,2023,2.1783957
Bolivia,BOL,2023,1.9077996
Bonaire Sint Eustatius and Saba,BES,2023,3.8396726
Bosnia and Herzegovina,BIH,2023,6.3355327
Botswana,BWA,2023,2.7068162
Brazil,BRA,2023,2.3040087
British Virgin Islands,VGB,2023,4.7500577
Brunei,BRN,2023,25.644121
Bulgaria,BGR,2023,5.311158
Burkina Faso,BFA,2023,0.26868075
Burundi,BDI,2023,0.051842824
Cambodia,KHM,2023,1.158091
Cameroon,CMR,2023,0.35038644
Canada,CAN,2023,13.977395
Cape Verde,CPV,2023,1.0241876
Central African Republic,CAF,2023,0.05457887
Chad,TCD,2023,0.15939629
Chile,CHL,2023,3.9314492
China,CHN,2023,8.366814
Colombia,COL,2023,2.011398
Comoros,COM,2023,0.5276767
Congo,COG,2023,1.2412221
Cook Islands,COK,2023,5.1131706
Costa Rica,CRI,2023,1.6215829
Cote d'Ivoire,CIV,2023,0.42340204
Croatia,HRV,2023,4.4979405
Cuba,CUB,2023,2.095969
Curacao,CUW,2023,10.911635
Cyprus,CYP,2023,5.334069
Czechia,CZE,2023,7.921035
Democratic Republic of Congo,COD,2023,0.04363328
Denmark,DNK,2023,4.583753
Djibouti,DJI,2023,0.42720202
Dominica,DMA,2023,2.4508874
Dominican Republic,DOM,2023,2.8257775
East Timor,TLS,2023,0.4566385
Ecuador,ECU,2023,2.4011502
Egypt,EGY,2023,2.3486655
El Salvador,SLV,2023,1.3043969
Equatorial Guinea,GNQ,2023,3.324051
Eritrea,ERI,2023,0.17887437
Estonia,EST,2023,7.3279524
Eswatini,SWZ,2023,0.8973618
Ethiopia,ETH,2023,0.11832265
Europe,,2023,6.688086
Europe (excl. EU-27),,2023,8.389232
Europe (excl. EU-28),,2023,9.582006
European Union (27),,2023,5.571019
European Union (28),,2023,5.421815
Faroe Islands,FRO,2023,14.571523
Fiji,FJI,2023,1.2402219
Finland,FIN,2023,5.6455913
France,FRA,2023,4.101154
French Polynesia,PYF,2023,3.258885
Gabon,GAB,2023,2.1776206
Gambia,GMB,2023,0.26350614
Georgia,GEO,2023,3.090994
Germany,DEU,2023,7.051021
Ghana,GHA,2023,0.5814853
Greece,GRC,2023,5.3887224
Greenland,GRL,2023,10.659416
Grenada,GRD,2023,2.89821
Guatemala,GTM,2023,1.1245517
Guinea,GIN,2023,0.2806425
Guinea-Bissau,GNB,2023,0.13839087
Guyana,GUY,2023,4.289998
Haiti,HTI,2023,0.3026471
High-income countries,,2023,9.926733
Honduras,HND,2023,1.037329
Hong Kong,HKG,2023,4.5508866
Hungary,HUN,2023,4.1491046
Iceland,ISL,2023,9.70807
India,IND,2023,2.129469
Indonesia,IDN,2023,2.607574
Iran,IRN,2023,9.0265045
Iraq,IRQ,2023,3.9148452
Ireland,IRL,2023,6.6259856
Israel,ISR,2023,6.426912
Italy,ITA,2023,5.2682943
Jamaica,JAM,2023,2.6934075
Japan,JPN,2023,7.950287
Jordan,JOR,2023,1.8523015
Kazakhstan,KAZ,2023,12.550915
Kenya,KEN,2023,0.38907528
Kiribati,KIR,2023,0.52059
Kosovo,OWID_KOS,2023,4.927375
Kuwait,KWT,2023,20.507933
Kyrgyzstan,KGZ,2023,1.4352598
Laos,LAO,2023,3.2350018
Latvia,LVA,2023,3.4598875
Lebanon,LBN,2023,3.3732533
Lesotho,LSO,2023,1.6823804
Liberia,LBR,2023,0.14035974
Libya,LBY,2023,8.346396
Liechtenstein,LIE,2023,3.968452
Lithuania,LTU,2023,4.3662324
Low-income countries,,2023,0.2669228
Lower-middle-income countries,,2023,1.5847298
Luxembourg,LUX,2023,10.514379
Macao,MAC,2023,1.4812597
Madagascar,MDG,2023,0.14349237
Malawi,MWI,2023,0.08303502
Malaysia,MYS,2023,8.222435
Maldives,MDV,2023,3.9206648
Mali,MLI,2023,0.2844727
Malta,MLT,2023,3.419049
Marshall Islands,MHL,2023,3.9468455
Mauritania,MRT,2023,0.8785762
Mauritius,MUS,2023,3.2498164
Mexico,MEX,2023,3.719935
Micronesia (country),FSM,2023,1.3271488
Moldova,MDA,2023,1.9439465
Mongolia,MNG,2023,13.656996
Montenegro,MNE,2023,3.6751132
Montserrat,MSR,2023,5.007883
Morocco,MAR,2023,1.8208175
Mozambique,MOZ,2023,0.23854156
Myanmar,MMR,2023,0.5584907
Namibia,NAM,2023,1.4087284
Nauru,NRU,2023,4.8318486
Nepal,NPL,2023,0.56162405
Netherlands,NLD,2023,6.558972
New Caledonia,NCL,2023,17.481855
New Zealand,NZL,2023,5.822576
Nicaragua,NIC,2023,0.8189758
Niger,NER,2023,0.099298455
Nigeria,NGA,2023,0.5640603
Niue,NIU,2023,4.1645846
North America,,2023,10.128122
North America (excl. USA),,2023,4.641952
North Korea,PRK,2023,2.3000906
North Macedonia,MKD,2023,4.0663958
Norway,NOR,2023,7.048346
Oceania,,2023,9.498645
Oman,OMN,2023,15.549048
Pakistan,PAK,2023,0.8107597
Palau,PLW,2023,12.524928
Palestine,PSE,2023,0.646472
Panama,PAN,2023,3.1440005
Papua New Guinea,PNG,2023,0.80099183
Paraguay,PRY,2023,1.1892326
Peru,PER,2023,1.6505427
Philippines,PHL,2023,1.3454351
Poland,POL,2023,7.462856
Portugal,PRT,2023,3.5690808
Qatar,QAT,2023,38.84138
Romania,ROU,2023,3.5692937
Russia,RUS,2023,12.485688
Rwanda,RWA,2023,0.110374644
Saint Helena,SHN,2023,2.091422
Saint Kitts and Nevis,KNA,2023,4.990531
Saint Lucia,LCA,2023,2.8524244
Saint Pierre and Miquelon,SPM,2023,9.740319
Saint Vincent and the Grenadines,VCT,2023,2.3406262
Samoa,WSM,2023,1.1853346
Sao Tome and Principe,STP,2023,0.7197226
Saudi Arabia,SAU,2023,22.132002
Senegal,SEN,2023,0.6583098
Serbia,SRB,2023,6.25373
Seychelles,SYC,2023,4.3061166
Sierra Leone,SLE,2023,0.14555909
Singapore,SGP,2023,8.50786
Sint Maarten (Dutch part),SXM,2023,16.201122
Slovakia,SVK,2023,5.570649
Slovenia,SVN,2023,5.3476315
Solomon Islands,SLB,2023,0.37852964
Somalia,SOM,2023,0.030373413
South Africa,ZAF,2023,6.357822
South America,,2023,2.5627933
South Korea,KOR,2023,11.15808
South Sudan,SSD,2023,0.13762999
Spain,ESP,2023,4.625513
Sri Lanka,LKA,2023,0.88446206
Sudan,SDN,2023,0.39968696
Suriname,SUR,2023,4.209699
Sweden,SWE,2023,3.46456
Switzerland,CHE,2023,3.6905546
Syria,SYR,2023,1.0808934
Taiwan,TWN,2023,11.200025
Tajikistan,TJK,2023,0.87148154
Tanzania,TZA,2023,0.27119026
Thailand,THA,2023,3.6873035
Togo,TGO,2023,0.2815926
Tonga,TON,2023,1.9054133
Trinidad and Tobago,TTO,2023,22.8339
Tunisia,TUN,2023,2.687845
Turkey,TUR,2023,4.9510126
Turkmenistan,TKM,2023,8.603866
Turks and Caicos Islands,TCA,2023,8.017784
Tuvalu,TUV,2023,1.1690556
Uganda,UGA,2023,0.11537297
Ukraine,UKR,2023,3.6164947
United Arab Emirates,ARE,2023,21.554382
United Kingdom,GBR,2023,4.4428244
United States,USA,2023,14.299026
Upper-middle-income countries,,2023,6.1591845
Uruguay,URY,2023,2.3216505
Uzbekistan,UZB,2023,3.4995892
Vanuatu,VUT,2023,0.7058317
Venezuela,VEN,2023,3.5182285
Vietnam,VNM,2023,3.3355136
Wallis and Futuna,WLF,2023,2.6914165
World,OWID_WRL,2023,4.6703916
Yemen,YEM,2023,0.2547522
Zambia,ZMB,2023,0.37391114
Zimbabwe,ZWE,2023,0.6831985
